districtid,vaccinationratio,populationratio,ratioofratios
NL_Kiphire,0.5317560360709783,0.9562252180808882,0.5560991553205371
DN_Dadra and Nagar Haveli,0.44120985215866043,0.7738903798513626,0.5701193135950359
JK_Srinagar,0.539058766130317,0.8995291219491218,0.5992677201626015
AR_Papum Pare,0.6454017508884459,0.9799174721356327,0.6586286797008087
TN_Kancheepuram,0.652007308650283,0.986257040633734,0.661092678467802
MN_Tamenglong,0.6299958223088706,0.9434718326401459,0.6677420570637855
BR_Gopalganj,0.6854965900562342,1.0210465532719186,0.6713666363787011
MN_Senapati,0.6332450975095889,0.9373370046457467,0.6755788946462377
MN_Ukhrul,0.6395286912528292,0.9425874701746236,0.6784820629265846
NL_Phek,0.6474570533976475,0.9514228054882199,0.6805145406046965
NL_Tuensang,0.6365895267764426,0.9286786418529819,0.6854788062168231
MP_Singrauli,0.6349001121706952,0.9201466013294505,0.6899988667603356
UP_Deoria,0.7031031017648933,1.016959405139466,0.6913777464582961
MN_Chandel,0.6621332518337408,0.9332788050255434,0.7094699336021228
UP_Kushinagar,0.6846834874669534,0.9606359543578165,0.712739809873828
CT_Bijapur,0.6863255638861875,0.959755072356803,0.7151049092148334
UP_Gautam Buddha Nagar,0.6201094157718039,0.8513694459983779,0.7283670076327655
JK_Ramban,0.6599474418858537,0.9024287208647372,0.7313014608549583
AR_Upper Dibang Valley,0.5980757293606456,0.8133212505663797,0.7353499357654288
CT_Narayanpur,0.7312842136410712,0.9944653657423257,0.7353541297993812
NL_Peren,0.6741336813107148,0.9153357203202317,0.7364878987513653
JK_Shopiyan,0.7020105864384794,0.9505788393903869,0.7385085353769119
JK_Bandipora,0.6604598970798377,0.8886363636363637,0.7432285286831932
UP_Prayagraj,0.6745682824277937,0.9012637113334251,0.7484693702243551
UP_Sonbhadra,0.6903324663803706,0.9175070829695762,0.7524001494855616
UP_Mau,0.7436853675869901,0.9789631195226737,0.7596663783918631
JK_Budgam,0.6794923507470445,0.893636585175899,0.7603676505850492
HR_Gurugram,0.6510647600576243,0.8543535490822711,0.7620554286419066
MH_Ratnagiri,0.856710795285364,1.1219608971503874,0.7635834702094173
UP_Maharajganj,0.7210787423970595,0.9429674167760687,0.7646910482467898
UP_Azamgarh,0.7826888184959191,1.0192144083774033,0.76793343192819
AS_Dima Hasao,0.71660254709472,0.9322936409090089,0.7686446797985399
JH_Latehar,0.7442903682477955,0.9665806430669848,0.7700240777491089
JK_Kulgam,0.7344163467335089,0.9505698005698006,0.7726064369952393
JK_Pulwama,0.7086710816305839,0.9123467911445964,0.776756260348668
AR_Tirap,0.7353839987976555,0.9438754253176863,0.7791112884946045
PB_Ludhiana,0.6852419527948052,0.8731711260638093,0.7847739490468782
OR_Angul,0.7413784591547263,0.9426354011938058,0.7864954554176551
JK_Anantnag,0.7317129748956132,0.9270374995310549,0.7893024556889583
JH_Bokaro,0.729413259902563,0.9223681426388903,0.7908049142023873
NL_Dimapur,0.7279184796757038,0.9190603564444715,0.7920246745184072
UP_Varanasi,0.7260364123092939,0.9131709591296334,0.7950717278627627
TN_Thiruvallur,0.7862835582644029,0.9871965851874831,0.7964812379441893
HP_Solan,0.7011095510853224,0.8795545968635224,0.7971188526391286
PB_Bathinda,0.692201052026621,0.868313515797292,0.7971787141779507
BR_Siwan,0.7906075250882835,0.9882298861553708,0.8000238974395713
UP_Ballia,0.7494303464138694,0.9366191205462125,0.8001441887891639
GJ_Bharuch,0.7410854793449488,0.9250409888458211,0.8011379909441693
JK_Reasi,0.7140898823895943,0.8903346729864653,0.8020465832183195
UP_Jaunpur,0.8232776449582616,1.0239922718889962,0.8039881428397219
JK_Kishtwar,0.740811902010931,0.9198269046727416,0.8053818585296751
UP_Sant Kabir Nagar,0.7867594932995663,0.9722545466253323,0.809211431338003
PB_Mansa,0.7155557389053331,0.8832658074239355,0.8101250301902521
UP_Siddharthnagar,0.7919137256091352,0.9761461514406279,0.8112655307203778
JH_Dhanbad,0.7421877024330837,0.9093677184776764,0.8161579604733938
