state-code,male-percentage,female-percentage,p-value
00,71.65011794931502,76.46426421106435,0.3404325459906754
01,45.26420709260613,56.81195599121451,0.5370344780696734
02,80.3563771567774,83.48259644801578,0.3063303266624069
03,50.24283332758404,56.11189913089054,0.5688119155843847
04,44.39149730566611,45.86583036182541,0.7332771460408809
05,80.87182909793796,84.33886987197583,0.2708329639366194
06,75.85987986128515,80.01374409533558,0.29384486732713055
07,57.8021538330756,61.22413425095329,0.587541379686479
08,87.6517668407443,90.65604483256882,0.2682295505559342
09,87.26086903672274,89.96798876127744,0.23499790902044104
10,82.60166608088775,85.31091975830817,0.30210891752615887
11,33.964775435664095,38.90270497761794,0.8832291962482015
12,32.98711886058786,39.15752857132193,0.8544321262487684
13,35.40236705447426,40.470491784373486,0.800517940961238
14,47.15039629191442,55.66402391180405,0.5888705069586453
15,68.6382551918738,74.9866664698164,0.38535662662587966
16,61.93405165238992,69.15313404918254,0.4020474167846606
17,70.4336681342135,74.15421912509144,0.44778849839447954
18,49.93925446453807,57.54532598399346,0.5182457697726552
19,81.23793942565821,85.9592559782642,0.27476666365421964
20,67.66620113092993,71.81120300334685,0.39186238937144946
21,62.919349564796306,71.29658769289131,0.41462332058315754
22,85.81285828334137,87.70008864640813,0.30005126302047525
23,85.44439418311656,87.62232038535575,0.29758074405284507
24,52.178026538156935,62.57966925462491,0.45930261454851484
25,52.58847246525306,51.18778645665225,0.8474819496757049
26,41.57153179190752,42.79921840092298,0.7040644694946199
27,44.997805403617555,53.104926750573426,0.5790307281227038
28,71.26914364792016,77.71797095164293,0.343464498128085
29,57.9131677016347,62.76065232283966,0.4939896784434916
30,20.531428416808723,25.109222204460632,0.7312864671011703
31,65.7700087552456,76.98564593301435,0.3795940920126417
32,73.21389130072903,77.72975908541568,0.33620305275112283
33,69.55855716874008,73.85282951746443,0.346069979454243
34,65.13009562277249,71.87626880187334,0.3542347653731275
35,29.818456063212583,35.261380901468684,0.814565499898011
