state-code,male-percentage,female-percentage,p-value
00,8.108333640396491,6.037043996033532,0.8244519157322345
01,18.955278856234514,14.192765530518724,0.7805408911411182
02,5.757763134956387,4.339927910275994,0.850071219601471
03,29.945363440535566,26.298118121260792,0.9174514311841016
04,30.75053860845275,30.207651009821245,0.9899886067332968
05,2.1318380551262193,1.5821501342118722,0.8238244898183564
06,5.048102467229069,4.127133556576486,0.8626719126833486
07,8.25065208494718,7.906043305559882,0.9627481788959962
08,1.8082249563915183,1.1028400991107188,0.6363320779721175
09,1.48065222882239,1.0895322046211406,0.7946158086387196
10,1.894822994819076,1.3128863872366223,0.7644445490318499
11,30.775683288451418,28.512349264539647,0.9721720783947883
12,33.150584385750626,27.154512813239478,0.9479781566252523
13,29.92175857293571,24.20582626463407,0.933054003652918
14,24.763552543956358,18.386362481724632,0.8463497668987394
15,6.250956622891604,3.3683542271442994,0.5792675313663769
16,6.889919631920169,3.858428343672081,0.6052627119673875
17,10.775274963936958,7.740853404309122,0.8254699469532045
18,16.53939224852462,11.241943195437901,0.7750544732523275
19,3.82267078527396,2.454961746089602,0.6832640314701695
20,5.705505184044124,3.905131823941969,0.7680689625101742
21,15.83626938842934,10.43280245208549,0.7331157508259016
22,1.9103249890223524,1.3956479797563037,0.8356867985600158
23,2.0156434971043784,1.4274742097581679,0.7910930383476524
24,16.45301585265245,11.708091823418968,0.7563196643061167
25,14.541486749921823,13.713338927979688,0.9749171990955767
26,22.840627580511974,18.179514368218527,0.8886579787969882
27,19.668401328391834,15.276290267454803,0.8545514465435571
28,9.039085818139355,5.951769054860847,0.7300105879156669
29,14.593422208926201,10.996294555612202,0.8569088454489366
30,53.48404902995373,48.08515370340768,0.9398294439780133
31,19.427588080789782,11.311004784688995,0.6072975305394737
32,10.819320049924467,8.370938385371613,0.8819201778154253
33,3.902244107479736,2.879750662715253,0.8345908784629898
34,6.662574223156809,4.855832633033384,0.8134674016328827
35,20.62690083846385,17.366495976591075,0.9380501726215309
