state/ut,literacy-group,males,literacy-group,females
00,Literate but below primary,0.7944172522492451,Literate but below primary,0.8069004727920959
01,Literate but below primary,0.41551383216602295,Literate but below primary,0.4338847045969497
02,Literate but below primary,0.8210717111679517,Literate but below primary,0.834848660030762
03,Literate but below primary,0.6666009909446,Literate but below primary,0.669270079727559
04,Literate but below primary,0.6102009333932163,Literate but below primary,0.6082001109486106
05,Literate but below primary,0.8376422632252944,Primary but below middle,0.8524062296827635
06,Literate but below primary,0.8435722574005069,Literate but below primary,0.8508802176925672
07,Literate but below primary,0.7656325480723988,Literate but below primary,0.7693204817527522
08,Literate but below primary,0.8925145099443474,Literate but below primary,0.8986697571161342
09,Literate but below primary,0.916880940635449,Literate but below primary,0.9142091599591061
10,Literate but below primary,0.7908802497086213,Middle but below matric/secondary,0.7962601881259442
11,Literate but below primary,0.3926460439857181,Literate but below primary,0.42611544840419074
12,Literate but below primary,0.18205162859845925,Literate but below primary,0.18674856932850317
13,Literate but below primary,0.3516070869779016,Literate but below primary,0.3795185566347205
14,Literate but below primary,0.6250262813151979,Literate but below primary,0.6280607819589005
15,Literate but below primary,0.7692709619805818,Literate but below primary,0.8270028841893982
16,Literate but below primary,0.6727607028113002,Literate but below primary,0.7089085418464194
17,Literate but below primary,0.7990526525088353,Literate but below primary,0.8319640970778412
18,Literate but below primary,0.5271253457624264,Literate but below primary,0.5839546078292362
19,Literate but below primary,0.8870166572542819,Literate but below primary,0.9099488596808609
20,Literate but below primary,0.6494588874873293,Literate but below primary,0.6582119235419455
21,Literate but below primary,0.7874276010067898,Literate but below primary,0.8101884882279555
22,Literate but below primary,0.8636426230274274,Literate but below primary,0.8679663883196904
23,Primary but below middle,0.8801228286182067,Literate but below primary,0.8812815073520516
24,Literate but below primary,0.7822927188486525,Literate but below primary,0.7986743864183208
25,Literate but below primary,0.6318158100704409,Literate but below primary,0.6212912939509344
26,Middle but below matric/secondary,0.3685139853124122,Literate but below primary,0.3096166848702346
27,Literate but below primary,0.6235748418239546,Literate but below primary,0.6520253057591135
28,Literate but below primary,0.8163200205145317,Literate but below primary,0.8333286899494378
29,Literate but below primary,0.6465745353728259,Literate but below primary,0.6564607189377891
30,Literate but below primary,0.19857882902468416,Literate but below primary,0.20357399203029478
31,Literate but below primary,0.8945390227724961,Literate but below primary,0.9283814200941273
32,Literate but below primary,0.900143481694047,Literate but below primary,0.9276905002501531
33,Literate but below primary,0.8114047824477939,Literate but below primary,0.8187348028571532
34,Literate but below primary,0.8533058766219388,Literate but below primary,0.868128435782109
35,Literate but below primary,0.31279705059299073,Literate but below primary,0.3482361337683524
