state-code,male-percentage,female-percentage,p-value
00,20.241548410288495,17.49869179290212,0.8244519157322345
01,35.78051405115936,28.995278478266766,0.7805408911411182
02,13.885859708266212,12.177475641708218,0.850071219601471
03,19.8118032318804,17.58998274784867,0.9174514311841016
04,24.85796408588114,23.926518628353346,0.9899886067332968
05,16.99633284693582,14.07897999381229,0.8238244898183564
06,19.09201767148578,15.859122348087938,0.8626719126833486
07,33.94719408197722,30.86982244348683,0.9627481788959962
08,10.540008202864184,8.241115068320452,0.6363320779721175
09,11.258478734454876,8.942479034101423,0.7946158086387196
10,15.503510924293174,13.376193854455208,0.7644445490318499
11,35.25954127588448,32.58494575784242,0.9721720783947883
12,33.86229675366152,33.68795861543859,0.9479781566252523
13,34.67587437259003,35.32368195099245,0.933054003652918
14,28.08605116412922,25.949613606471317,0.8463497668987394
15,25.110788185234604,21.644979303039307,0.5792675313663769
16,31.176028715689913,26.98843760714538,0.6052627119673875
17,18.791056901849537,18.104927470599442,0.8254699469532045
18,33.52135328693732,31.21273082056864,0.7750544732523275
19,14.939389789067823,11.585782275646205,0.6832640314701695
20,26.628293685025945,24.28366517271119,0.7680689625101742
21,21.244381046774357,18.27060985502321,0.7331157508259016
22,12.276816727636282,10.904263373835567,0.8356867985600158
23,12.539962319779065,10.950205404886084,0.7910930383476524
24,31.368957609190613,25.712238921956118,0.7563196643061167
25,32.870040784825115,35.09887461536806,0.9749171990955767
26,35.58784062758051,39.02126723085849,0.8886579787969882
27,35.33379326799061,31.618782981971773,0.8545514465435571
28,19.691770533940485,16.33025999349623,0.7300105879156669
29,27.493410089439102,26.243053121548137,0.8569088454489366
30,25.984522553237547,26.80562409213169,0.9398294439780133
31,14.802403163964616,11.703349282296651,0.6072975305394737
32,15.966788649346507,13.899302529212713,0.8819201778154253
33,26.539198723780178,23.26741981982032,0.8345908784629898
34,28.207330154070704,23.267898565093272,0.8134674016328827
35,49.55464309832357,47.37212312194024,0.9380501726215309
