state-code,urban-percentage,rural-percentage,p-value
00,26.974288471183012,15.263288902255663,0.5112161557398132
01,34.32487427335445,31.933408431652843,0.8864797197980794
02,28.279345641287804,11.345455428631569,0.9382456156351069
03,22.62686762932264,16.445332247244494,0.8452435801380282
04,24.411203954566133,25.421682591148976,0.5276084899616014
05,26.40946985870376,10.865780847792951,0.39239180277625074
06,25.584580953196316,13.292914643142717,0.6413070673290877
07,32.78010329222509,22.250514268259508,0.2876857483366926
08,16.593746453047366,7.063095413406106,0.7562658975142664
09,23.908036718590555,6.213120088287924,0.47995884363802355
10,20.51053511068534,13.718197971276947,0.9328862096005173
11,33.56144760317233,34.1475583097556,0.9527089620875531
12,31.901036333101217,34.336498624289405,0.9760703339454937
13,33.78204656669574,35.47745848063566,0.8905971001263313
14,22.77840782397495,28.77836805761659,0.934029165374795
15,26.5219817024648,20.000951592490033,0.5595544394539314
16,19.008313458900226,32.71077514761486,0.8181556335179963
17,33.08321437568226,14.775627793925967,0.518962854381549
18,29.455419545840417,32.87377857617519,0.8839830922600778
19,20.07469356376492,10.138623970144435,0.28815788989401314
20,29.642177212553893,24.17134845306577,0.8246071966869026
21,23.265248892863955,19.07412297234457,0.7997951873417108
22,17.925610852320702,9.676518634446488,0.5737225394277277
23,18.855127992085464,9.069353958197784,0.5423675630044729
24,34.5880337616313,24.26040310758366,0.5187692334631882
25,33.38073075892393,34.75395721570965,0.8458094012685953
26,35.36411469846508,38.59562895245585,0.9761894932249238
27,38.1544731786266,29.738239966376025,0.5072456931026135
28,23.877600523759195,15.082795051150159,0.46587392908136493
29,32.70216044536091,23.20368109015012,0.39098278595521974
30,25.787206637744895,27.379465717895133,0.9015377009638221
31,14.050703329889533,10.607453503995474,0.47387444459207817
32,15.823393218142337,14.041033968314022,0.7955676204575213
33,29.92017456033432,20.203682071169734,0.31873157115648887
34,28.692364612027163,19.218623481781375,0.2835588413896013
35,48.96088871543265,48.27810184189327,0.8985729575875108
