state/ut,age-group,males,age-group,females
0,30-49,0.06264031774158554,30-49,0.05094608153007464
1,30-49,0.10410709052802265,30-49,0.07066911385883565
2,30-49,0.04437783916874625,30-49,0.03990919757391148
3,30-49,0.06013395981342214,30-49,0.05542277462548668
4,30-49,0.08235413656458221,30-49,0.0785320575331675
5,30-49,0.04925168939927864,30-49,0.03871521964450374
6,30-49,0.05787642794589356,30-49,0.044862461211895896
7,30-49,0.11416254400919695,30-49,0.0987508036225349
8,30-49,0.030304494695324577,30-49,0.02146111940805105
9,30-49,0.03194976747337853,30-49,0.022446825761691287
10,30-49,0.04139661558516071,30-49,0.0341071423374282
11,30-49,0.11049308199461418,30-49,0.09571940857092175
12,30-49,0.0970049529914051,30-49,0.0946126915640886
13,30-49,0.09890704036211424,30-49,0.1060394002010792
14,30-49,0.08677687673868646,30-49,0.0801611337220789
15,30-49,0.08118104437109586,30-49,0.06449553119123327
16,30-49,0.1020814393696889,30-49,0.08109290091195477
17,30-49,0.056819400575936166,30-49,0.049581812770625136
18,30-49,0.1035404436654405,30-49,0.09108593512188057
19,30-49,0.051067372111793734,30-49,0.03686488307936872
20,30-49,0.07570532503382246,30-49,0.065166695427318
21,30-49,0.06600801541155497,30-49,0.05170892784259305
22,30-49,0.03736506844324683,30-49,0.03134837173091296
23,30-49,0.03738965114236814,30-49,0.030235499844164574
24,30-49,0.10158891705190583,30-49,0.07743345131784685
25,30-49,0.1106246798091829,30-49,0.11630409054719945
26,30-49,0.10817506193228736,30-49,0.11434554415167823
27,30-49,0.11417960280106182,30-49,0.09843996475457248
28,30-49,0.061040198108738425,30-49,0.044872601580245926
29,30-49,0.08590294393095128,30-49,0.07942310041209959
30,30-49,0.08085071840246773,30-49,0.0880018904511367
31,30-49,0.05503728527005404,30-49,0.042583732057416265
32,30-49,0.05528278676557388,30-49,0.04928789343751635
33,30-49,0.08587658827037209,30-49,0.07035585910266182
34,30-49,0.09866108527030534,30-49,0.07187123293707372
35,30-49,0.1742338727565793,30-49,0.16586573631196894
